day,goal_away,goal_home,id,leagu_name,month,parent_url,player,results_away,results_home,round,team_away,team_home,time,url,year
10日,,"6分 宮本　拓弥 
										52分 中村　慶太 
										79分 山崎　チャルノ",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,0,3,第1節1,三菱養和SCユース,流通経済大学付属柏高校,"6分,52分,79分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m1.html,2011
10日,,"51分 矢島　慎也 
										55分 高田　拓弥 
										77分 野崎　雅也 
										85分 高田　拓弥",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,0,4,第1節2,清水エスパルスユース,浦和レッズユース,"51分,55分,77分,85分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m2.html,2011
10日,"34分 榊　翔太 
										44分 榊　翔太","49分 田中　貴大 
										61分 高木　大輔",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,2,2,第1節3,コンサドーレ札幌U-18,東京ヴェルディユース,"49分,61分,34分,44分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m3.html,2011
23日,55分 舛沢　樹,59分 ブーゾ アモス,,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,08月,,,1,1,第1節4,青森山田高校,FC東京U-18,"59分,55分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m4.html,2011
25日,,"50分 木村　悠貴 
										62分 山本　真也 
										74分 山本　真也",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,06月,,,0,3,第1節5,尚志高校,静岡学園高校,"50分,62分,74分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m5.html,2011
17日,38分 高田　拓弥,"50分 野沢　英之 
										54分 岩木　慎也 
										90+1分 冷岡　幸輝",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,1,3,第2節6,浦和レッズユース,FC東京U-18,"50分,54分,90+1分,38分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m6.html,2011
17日,61分 矢埜　翔平,"23分 近藤　勝成 
										53分 近藤　勝成 
										90+1分 鈴木　貴大",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,1,3,第2節7,流通経済大学付属柏高校,コンサドーレ札幌U-18,"23分,53分,90+1分,61分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m7.html,2011
17日,"67分 山本　真也 
										71分 渡辺　隼","77分 川上　亮祐 
										90+2分 木村　陸人",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,2,2,第2節8,静岡学園高校,三菱養和SCユース,"77分,90+2分,67分,71分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m8.html,2011
27日,90+2分 差波　優人,"22分 杉本　竜士 
										34分 高木　大輔 
										56分 中島　翔哉",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,08月,,,1,3,第2節9,青森山田高校,東京ヴェルディユース,"22分,34分,56分,90+2分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m9.html,2011
30日,"22分 荒野　拓馬 
										28分 神田　夢実 
										51分 堀米　悠斗",,,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,3,0,第3節11,コンサドーレ札幌U-18,静岡学園高校,"22分,28分,51分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m11.html,2011
22日,,"7分 藤嵜　智貴 
										39分 石毛　秀樹",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,05月,,,0,2,第2節10,尚志高校,清水エスパルスユース,"7分,39分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m10.html,2011
30日,64分 前田　直輝,13分 野崎　雅也,,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,1,1,第3節12,東京ヴェルディユース,浦和レッズユース,"13分,64分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m12.html,2011
30日,,"82分 水谷　和磨 
										90分 伊東　直樹",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,04月,,,0,2,第3節13,FC東京U-18,清水エスパルスユース,"82分,90分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m13.html,2011
21日,52分 中村　慶太,"45+1分 椎名　政志 
										48分 差波　優人 
										50分 林　雄紀 
										65分 縣　翔平",,高円宮杯U=18サッカーリーグ2011 プレミアリーグ 2011.4.9-,05月,,,1,4,第3節14,流通経済大学付属柏高校,青森山田高校,"45+1分,48分,50分,65分,52分",http://www.jfa.or.jp/match/matches/2011/premier_league/east/match_page/m14.html,2011
