day,goal_away,goal_home,id,leagu_name,month,parent_url,player,results_away,results_home,round,team_away,team_home,time,url,year
28日,55分 飯泉 涼矢 60分 黒木 周 69分 飯泉 涼矢,3分 山本 啓介,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,04月,,,3,1,第4節20,三菱養和ＳＣユース,静岡学園高校,"3分,55分,60分,69分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m20.html,2013
04日,,18分 松尾 雄斗 43分 平川 元樹,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,0,2,第5節21,青森山田高校,コンサドーレ札幌U-18,"18分,43分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m21.html,2013
04日,49分 小泉 慶 63分 上田 将寛,3分 山口 陽一朗  8分 中野 雅臣 76分 菅嶋 弘希,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,2,3,第5節23,流通経済大学付属柏高校,東京ヴェルディユース,"3分,8分,76分,49分,63分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m23.html,2013
04日,15分 宮本 航汰 45分 北川 航也,74分 安東 輝 84分 平岡 将豪 90分 平岡 将豪,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,2,3,第5節22,清水エスパルスユース,ＪＦＡアカデミー福島,"74分,84分,90分,15分,45分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m22.html,2013
04日,23分 阿部 翔,16分 青山 航 57分 秋本 和希 87分 木村 陸人,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,1,3,第5節25,鹿島アントラーズユース,三菱養和ＳＣユース,"16分,57分,87分,23分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m25.html,2013
04日,39分 須藤 駿介 50分 山本 啓介 87分 本藤 風太,20分 今来 俊介 45+1分 植木 隆之輔 81分 杉本 大斗,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,3,3,第5節24,静岡学園高校,桐光学園高校,"20分,45+1分,81分,39分,50分,87分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m24.html,2013
12日,71分 川崎 雅哉,36分 大竹 蓮 45+1分 高田 雅貴 63分 阿部 翔,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,1,3,第6節27,静岡学園高校,鹿島アントラーズユース,"36分,45+1分,63分,71分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m27.html,2013
12日,74分 平岡 将豪,10分 石井 光,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,1,1,第6節26,ＪＦＡアカデミー福島,青森山田高校,"10分,74分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m26.html,2013
12日,,5分 西澤 健太 16分 宮本 航汰 66分 北川 航也 69分 鈴木 準弥 82分 浅沼 大和,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,0,5,第6節28,桐光学園高校,清水エスパルスユース,"5分,16分,66分,69分,82分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m28.html,2013
12日,,90+1分 青木 亮太,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,0,1,第6節29,三菱養和ＳＣユース,流通経済大学付属柏高校,90+1分,http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m29.html,2013
12日,90+1分 平川 元樹,,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,05月,,,1,0,第6節30,コンサドーレ札幌U-18,東京ヴェルディユース,90+1分,http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m30.html,2013
30日,,2分 金子 翔太 27分 金子 翔太 55分 前田 拓海,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,06月,,,0,3,第7節32,東京ヴェルディユース,ＪＦＡアカデミー福島,"2分,27分,55分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m32.html,2013
30日,45分 川口 大翔 61分 山下 優人,28分 柳沢 拓弥 80分 菊池 涼 90+1分 望月 大,,高円宮杯U=18サッカーリーグ2013プレミアリーグ 2013.4.7-,06月,,,2,3,第7節31,青森山田高校,清水エスパルスユース,"28分,80分,90+1分,45分,61分",http://www.jfa.or.jp/match/matches/2013/premier_league/east/match_page/m31.html,2013
